createTimeISO,uniqueId,text,clean_text,lower_text,normalized_text,stopwords_text,tokenized_text,stemmed_text,label,polarity_score,polarity
"Thursday, 13 February 2025",loyde.aritonang,"ayo anakmuda kejar mimpimu keluar negri, Indonesia susah cari penghasilan dan cita cita",ayo anakmuda kejar mimpimu keluar negri Indonesia susah cari penghasilan dan cita cita,ayo anakmuda kejar mimpimu keluar negri indonesia susah cari penghasilan dan cita cita,ayo anakmuda kejar mimpimu keluar negri indonesia susah cari penghasilan dan cita cita,ayo anakmuda kejar mimpimu keluar negri indonesia susah cari penghasilan cita cita,"['ayo', 'anakmuda', 'kejar', 'mimpimu', 'keluar', 'negri', 'indonesia', 'susah', 'cari', 'penghasilan', 'cita', 'cita']","['ayo', 'anakmuda', 'kejar', 'mimpi', 'keluar', 'negri', 'indonesia', 'susah', 'cari', 'hasil', 'cita', 'cita']","['ayo', 'anakmuda', 'kejar', 'mimpi', 'keluar', 'negri', 'indonesia', 'susah', 'cari', 'hasil', 'cita', 'cita']",-3,0
"Wednesday, 12 February 2025",putri.kedamaian6,"ku yakin srbenarx mereka jg berat nnggalkan keluarga, tp lebih berat lagi jika harus menghadapi polemik dinegara ini. semua serba mahal, cari kerjaan sulit dan justru bnyak PHK.",ku yakin srbenarx mereka jg berat nnggalkan keluarga tp lebih berat lagi jika harus menghadapi polemik dinegara ini semua serba mahal cari kerjaan sulit dan justru bnyak PHK,ku yakin srbenarx mereka jg berat nnggalkan keluarga tp lebih berat lagi jika harus menghadapi polemik dinegara ini semua serba mahal cari kerjaan sulit dan justru bnyak phk,ku yakin srbenarx mereka juga berat nnggalkan keluarga tapi lebih berat lagi jika harus menghadapi polemik dinegara ini semua serba mahal cari kerjaan sulit dan justru bnyak phk,ku yakin srbenarx mereka juga berat nnggalkan keluarga tapi lebih berat lagi jika harus menghadapi polemik dinegara ini semua serba mahal cari kerjaan sulit justru bnyak phk,"['ku', 'yakin', 'srbenarx', 'mereka', 'juga', 'berat', 'nnggalkan', 'keluarga', 'tapi', 'lebih', 'berat', 'lagi', 'jika', 'harus', 'menghadapi', 'polemik', 'dinegara', 'ini', 'semua', 'serba', 'mahal', 'cari', 'kerjaan', 'sulit', 'justru', 'bnyak', 'phk']","['ku', 'yakin', 'srbenarx', 'mereka', 'juga', 'berat', 'nnggalkan', 'keluarga', 'tapi', 'lebih', 'berat', 'lagi', 'jika', 'harus', 'hadap', 'polemik', 'negara', 'ini', 'semua', 'serba', 'mahal', 'cari', 'kerja', 'sulit', 'justru', 'bnyak', 'phk']","['ku', 'yakin', 'srbenarx', 'mereka', 'juga', 'berat', 'nnggalkan', 'keluarga', 'tapi', 'lebih', 'berat', 'lagi', 'jika', 'harus', 'hadap', 'polemik', 'negara', 'ini', 'semua', 'serba', 'mahal', 'cari', 'kerja', 'sulit', 'justru', 'bnyak', 'phk']",-3,0
"Thursday, 13 February 2025",samsa.sungsa,kesalahan pemerintah tidak peduli kepada rakyat nya sendiri,kesalahan pemerintah tidak peduli kepada rakyat nya sendiri,kesalahan pemerintah tidak peduli kepada rakyat nya sendiri,kesalahan pemerintah tidak peduli kepada rakyat nya sendiri,kesalahan pemerintah tidak peduli kepada rakyat sendiri,"['kesalahan', 'pemerintah', 'tidak', 'peduli', 'kepada', 'rakyat', 'sendiri']","['salah', 'perintah', 'tidak', 'peduli', 'kepada', 'rakyat', 'sendiri']","['salah', 'perintah', 'tidak', 'peduli', 'kepada', 'rakyat', 'sendiri']",-9,0
"Wednesday, 12 February 2025",beny.trikumoro,kalo sdh masalah perut & masa depan...nasionalisme nomer sekian.,kalo sdh masalah perut masa depannasionalisme nomer sekian,kalo sdh masalah perut masa depannasionalisme nomer sekian,kalo sudah masalah perut masa depannasionalisme nomer sekian,kalo sudah masalah perut masa depannasionalisme nomer sekian,"['kalo', 'sudah', 'masalah', 'perut', 'masa', 'depannasionalisme', 'nomer', 'sekian']","['kalo', 'sudah', 'masalah', 'perut', 'masa', 'depannasionalisme', 'nomer', 'sekian']","['kalo', 'sudah', 'masalah', 'perut', 'masa', 'depannasionalisme', 'nomer', 'sekian']",0,1
"Wednesday, 12 February 2025",acengputra_jawa,Sumpah aku juga pengin pindah,Sumpah aku juga pengin pindah,sumpah aku juga pengin pindah,sumpah aku juga pengin pindah,sumpah aku juga pengin pindah,"['sumpah', 'aku', 'juga', 'pengin', 'pindah']","['sumpah', 'aku', 'juga', 'pengin', 'pindah']","['sumpah', 'aku', 'juga', 'pengin', 'pindah']",-1,0
"Wednesday, 12 February 2025",agus_ryan57,asam sulfat lah penyebab semua ini.,asam sulfat lah penyebab semua ini,asam sulfat lah penyebab semua ini,asam sulfat lah penyebab semua ini,asam sulfat lah penyebab semua ini,"['asam', 'sulfat', 'lah', 'penyebab', 'semua', 'ini']","['asam', 'sulfat', 'lah', 'sebab', 'semua', 'ini']","['asam', 'sulfat', 'lah', 'sebab', 'semua', 'ini']",-4,0
"Wednesday, 12 February 2025",lukman_pebisnissimple,gara2 blimbing sayur dan mbahnya mulyono,gara2 blimbing sayur dan mbahnya mulyono,gara2 blimbing sayur dan mbahnya mulyono,gara2 blimbing sayur dan mbahnya mulyono,gara2 blimbing sayur mbahnya mulyono,"['gara2', 'blimbing', 'sayur', 'mbahnya', 'mulyono']","['gara2', 'blimbing', 'sayur', 'mbah', 'mulyono']","['gara2', 'blimbing', 'sayur', 'mbah', 'mulyono']",0,1
"Thursday, 13 February 2025",winterrr2494,Mana yg pindah tuh org2 yg cerdas lagi😩😩,Mana yg pindah tuh org2 yg cerdas lagi,mana yg pindah tuh org2 yg cerdas lagi,mana yang pindah tuh org2 yang cerdas lagi,mana pindah org2 cerdas lagi,"['mana', 'pindah', 'org2', 'cerdas', 'lagi']","['mana', 'pindah', 'org2', 'cerdas', 'lagi']","['mana', 'pindah', 'org2', 'cerdas', 'lagi']",-5,0
"Wednesday, 12 February 2025",pendakisandalan,kerja aja dicarikan ortunya mau buka 10 juta lapangan pekerjaan 😭😭😭,kerja aja dicarikan ortunya mau buka 10 juta lapangan pekerjaan,kerja aja dicarikan ortunya mau buka 10 juta lapangan pekerjaan,kerja saja dicarikan ortunya mau buka 10 juta lapangan pekerjaan,kerja saja dicarikan ortunya mau buka 10 juta lapangan pekerjaan,"['kerja', 'saja', 'dicarikan', 'ortunya', 'mau', 'buka', '10', 'juta', 'lapangan', 'pekerjaan']","['kerja', 'saja', 'cari', 'ortunya', 'mau', 'buka', '10', 'juta', 'lapang', 'kerja']","['kerja', 'saja', 'cari', 'ortunya', 'mau', 'buka', '10', 'juta', 'lapang', 'kerja']",7,1
"Friday, 14 February 2025",liem0130,bodoamat ngurusin masa depan negara.. kayak mreka menjamin aja masa depan rakyatnya🗿 pikir pake otak,bodoamat ngurusin masa depan negara kayak mreka menjamin aja masa depan rakyatnya pikir pake otak,bodoamat ngurusin masa depan negara kayak mreka menjamin aja masa depan rakyatnya pikir pake otak,bodoamat ngurusin masa depan negara kayak mreka menjamin saja masa depan rakyatnya pikir pake otak,bodoamat ngurusin masa depan negara kayak mreka menjamin saja masa depan rakyatnya pikir pake otak,"['bodoamat', 'ngurusin', 'masa', 'depan', 'negara', 'kayak', 'mreka', 'menjamin', 'saja', 'masa', 'depan', 'rakyatnya', 'pikir', 'pake', 'otak']","['bodoamat', 'ngurusin', 'masa', 'depan', 'negara', 'kayak', 'mreka', 'jamin', 'saja', 'masa', 'depan', 'rakyat', 'pikir', 'pake', 'otak']","['bodoamat', 'ngurusin', 'masa', 'depan', 'negara', 'kayak', 'mreka', 'jamin', 'saja', 'masa', 'depan', 'rakyat', 'pikir', 'pake', 'otak']",-14,0
"Wednesday, 12 February 2025",gofikjundulloh,"Generasi pintar memilih dimana mereka dihargai, bagus",Generasi pintar memilih dimana mereka dihargai bagus,generasi pintar memilih dimana mereka dihargai bagus,generasi pintar memilih dimana mereka dihargai bagus,generasi pintar memilih dimana mereka dihargai bagus,"['generasi', 'pintar', 'memilih', 'dimana', 'mereka', 'dihargai', 'bagus']","['generasi', 'pintar', 'pilih', 'mana', 'mereka', 'harga', 'bagus']","['generasi', 'pintar', 'pilih', 'mana', 'mereka', 'harga', 'bagus']",-4,0
"Wednesday, 12 February 2025",rudirecommends,anak muda mau cicil kpr juga was was karena bank dan developer aka BPN tidak bisa menjamin tanah tidak akan digusur,anak muda mau cicil kpr juga was was karena bank dan developer aka BPN tidak bisa menjamin tanah tidak akan digusur,anak muda mau cicil kpr juga was was karena bank dan developer aka bpn tidak bisa menjamin tanah tidak akan digusur,anak muda mau cicil kpr juga was was karena bank dan developer aka bpn tidak bisa menjamin tanah tidak akan digusur,anak muda mau cicil kpr juga was was karena bank developer aka bpn tidak bisa menjamin tanah tidak akan digusur,"['anak', 'muda', 'mau', 'cicil', 'kpr', 'juga', 'was', 'was', 'karena', 'bank', 'developer', 'aka', 'bpn', 'tidak', 'bisa', 'menjamin', 'tanah', 'tidak', 'akan', 'digusur']","['anak', 'muda', 'mau', 'cicil', 'kpr', 'juga', 'was', 'was', 'karena', 'bank', 'developer', 'aka', 'bpn', 'tidak', 'bisa', 'jamin', 'tanah', 'tidak', 'akan', 'gusur']","['anak', 'muda', 'mau', 'cicil', 'kpr', 'juga', 'was', 'was', 'karena', 'bank', 'developer', 'aka', 'bpn', 'tidak', 'bisa', 'jamin', 'tanah', 'tidak', 'akan', 'gusur']",-24,0
"Thursday, 13 February 2025",sunandipanorama,bawa ke ahlianmu ke arah yang benar...dimana kamu dimanusiakan...dan di hargai...,bawa ke ahlianmu ke arah yang benardimana kamu dimanusiakandan di hargai,bawa ke ahlianmu ke arah yang benardimana kamu dimanusiakandan di hargai,bawa ke ahlianmu ke arah yang benardimana kamu dimanusiakandan di hargai,bawa ahlianmu arah benardimana kamu dimanusiakandan hargai,"['bawa', 'ahlianmu', 'arah', 'benardimana', 'kamu', 'dimanusiakandan', 'hargai']","['bawa', 'ahli', 'arah', 'benardimana', 'kamu', 'dimanusiakandan', 'harga']","['bawa', 'ahli', 'arah', 'benardimana', 'kamu', 'dimanusiakandan', 'harga']",-2,0
"Wednesday, 12 February 2025",atep.sulaeman3,cari lah tempat yang d mana kita d hargai .,cari lah tempat yang d mana kita d hargai,cari lah tempat yang d mana kita d hargai,cari lah tempat yang d mana kita d hargai,cari lah tempat d mana kita d hargai,"['cari', 'lah', 'tempat', 'd', 'mana', 'kita', 'd', 'hargai']","['cari', 'lah', 'tempat', 'd', 'mana', 'kita', 'd', 'harga']","['cari', 'lah', 'tempat', 'd', 'mana', 'kita', 'd', 'harga']",-3,0
"Saturday, 15 February 2025",sefhiraaulia9,ditantangin sama bahlil woi gen Z lgsng bnrn pindah 🤣,ditantangin sama bahlil woi gen Z lgsng bnrn pindah,ditantangin sama bahlil woi gen z lgsng bnrn pindah,ditantangin sama bahlil woi gen z lgsng bnrn pindah,ditantangin sama bahlil woi gen z lgsng bnrn pindah,"['ditantangin', 'sama', 'bahlil', 'woi', 'gen', 'z', 'lgsng', 'bnrn', 'pindah']","['ditantangin', 'sama', 'bahlil', 'woi', 'gen', 'z', 'lgsng', 'bnrn', 'pindah']","['ditantangin', 'sama', 'bahlil', 'woi', 'gen', 'z', 'lgsng', 'bnrn', 'pindah']",1,1
"Saturday, 15 February 2025",ito.san1,"gw jjur juga pengen pindah kerja di luar negri, di negara sndiri soalnya kita cuma memperkaya pejabat negara",gw jjur juga pengen pindah kerja di luar negri di negara sndiri soalnya kita cuma memperkaya pejabat negara,gw jjur juga pengen pindah kerja di luar negri di negara sndiri soalnya kita cuma memperkaya pejabat negara,saya jjur juga pengen pindah kerja di luar negri di negara sndiri soalnya kita hanya memperkaya pejabat negara,saya jjur juga pengen pindah kerja luar negri negara sndiri soalnya kita hanya memperkaya pejabat negara,"['saya', 'jjur', 'juga', 'pengen', 'pindah', 'kerja', 'luar', 'negri', 'negara', 'sndiri', 'soalnya', 'kita', 'hanya', 'memperkaya', 'pejabat', 'negara']","['saya', 'jjur', 'juga', 'ken', 'pindah', 'kerja', 'luar', 'negri', 'negara', 'sndiri', 'soal', 'kita', 'hanya', 'kaya', 'jabat', 'negara']","['saya', 'jjur', 'juga', 'ken', 'pindah', 'kerja', 'luar', 'negri', 'negara', 'sndiri', 'soal', 'kita', 'hanya', 'kaya', 'jabat', 'negara']",-9,0
"Friday, 14 February 2025",tengku.erni,Di Indo terlalu susah lap pekerjaan dan terlalu banyak persayaratannya...Apalagi main sistem orang dalam...,Di Indo terlalu susah lap pekerjaan dan terlalu banyak persayaratannyaApalagi main sistem orang dalam,di indo terlalu susah lap pekerjaan dan terlalu banyak persayaratannyaapalagi main sistem orang dalam,di indo terlalu susah lap pekerjaan dan terlalu banyak persayaratannyaapalagi main sistem orang dalam,indo terlalu susah lap pekerjaan terlalu banyak persayaratannyaapalagi main sistem orang dalam,"['indo', 'terlalu', 'susah', 'lap', 'pekerjaan', 'terlalu', 'banyak', 'persayaratannyaapalagi', 'main', 'sistem', 'orang', 'dalam']","['indo', 'terlalu', 'susah', 'lap', 'kerja', 'terlalu', 'banyak', 'persayaratannyaapalagi', 'main', 'sistem', 'orang', 'dalam']","['indo', 'terlalu', 'susah', 'lap', 'kerja', 'terlalu', 'banyak', 'persayaratannyaapalagi', 'main', 'sistem', 'orang', 'dalam']",-16,0
"Wednesday, 12 February 2025",yantidamayanti59,"ternak Mulyono jgn kmn2, ttp harus kawal majikan",ternak Mulyono jgn kmn2 ttp harus kawal majikan,ternak mulyono jgn kmn2 ttp harus kawal majikan,ternak mulyono jgn kmn2 ttp harus kawal majikan,ternak mulyono jgn kmn2 ttp harus kawal majikan,"['ternak', 'mulyono', 'jgn', 'kmn2', 'ttp', 'harus', 'kawal', 'majikan']","['ternak', 'mulyono', 'jgn', 'kmn2', 'ttp', 'harus', 'kawal', 'majikan']","['ternak', 'mulyono', 'jgn', 'kmn2', 'ttp', 'harus', 'kawal', 'majikan']",-9,0
"Thursday, 13 February 2025",alphaarchive,"kalau gua jadi pemerintah sih mikir ya, gatau dah mereka mikir apa engga...",kalau gua jadi pemerintah sih mikir ya gatau dah mereka mikir apa engga,kalau gua jadi pemerintah sih mikir ya gatau dah mereka mikir apa engga,kalau gua jadi pemerintah sih mikir ya gatau dah mereka mikir apa engga,kalau gua jadi pemerintah sih mikir gatau dah mereka mikir apa engga,"['kalau', 'gua', 'jadi', 'pemerintah', 'sih', 'mikir', 'gatau', 'dah', 'mereka', 'mikir', 'apa', 'engga']","['kalau', 'gua', 'jadi', 'perintah', 'sih', 'mikir', 'gatau', 'dah', 'mereka', 'mikir', 'apa', 'engga']","['kalau', 'gua', 'jadi', 'perintah', 'sih', 'mikir', 'gatau', 'dah', 'mereka', 'mikir', 'apa', 'engga']",-14,0
"Thursday, 13 February 2025",pablo_helmik,"biasanya yg pindah itu, yg unggul, indosensia sudah kehilangan beberapa SDM unggul itu",biasanya yg pindah itu yg unggul indosensia sudah kehilangan beberapa SDM unggul itu,biasanya yg pindah itu yg unggul indosensia sudah kehilangan beberapa sdm unggul itu,biasanya yang pindah itu yang unggul indosensia sudah kehilangan beberapa sdm unggul itu,biasanya pindah itu unggul indosensia sudah kehilangan beberapa sdm unggul itu,"['biasanya', 'pindah', 'itu', 'unggul', 'indosensia', 'sudah', 'kehilangan', 'beberapa', 'sdm', 'unggul', 'itu']","['biasa', 'pindah', 'itu', 'unggul', 'indosensia', 'sudah', 'hilang', 'beberapa', 'sdm', 'unggul', 'itu']","['biasa', 'pindah', 'itu', 'unggul', 'indosensia', 'sudah', 'hilang', 'beberapa', 'sdm', 'unggul', 'itu']",-8,0
"Saturday, 15 February 2025",retnoningtyas801,"di luar negri gaji besar kalau di rupiah kan..kalau untuk hidup di negara tersebut sama aja,,gaji kecil😭",di luar negri gaji besar kalau di rupiah kankalau untuk hidup di negara tersebut sama ajagaji kecil,di luar negri gaji besar kalau di rupiah kankalau untuk hidup di negara tersebut sama ajagaji kecil,di luar negri gaji besar kalau di rupiah kankalau untuk hidup di negara tersebut sama ajagaji kecil,luar negri gaji besar kalau rupiah kankalau hidup negara tersebut sama ajagaji kecil,"['luar', 'negri', 'gaji', 'besar', 'kalau', 'rupiah', 'kankalau', 'hidup', 'negara', 'tersebut', 'sama', 'ajagaji', 'kecil']","['luar', 'negri', 'gaji', 'besar', 'kalau', 'rupiah', 'kankalau', 'hidup', 'negara', 'sebut', 'sama', 'ajagaji', 'kecil']","['luar', 'negri', 'gaji', 'besar', 'kalau', 'rupiah', 'kankalau', 'hidup', 'negara', 'sebut', 'sama', 'ajagaji', 'kecil']",-1,0
"Tuesday, 18 February 2025",m2n_74,iya lah buktinya ada yg jadi us army disana gaji pokok aja diatas 30.jt,iya lah buktinya ada yg jadi us army disana gaji pokok aja diatas 30jt,iya lah buktinya ada yg jadi us army disana gaji pokok aja diatas 30jt,iya lah buktinya ada yang jadi us army disana gaji pokok saja diatas 30jt,iya lah buktinya ada jadi us army disana gaji pokok saja diatas 30jt,"['iya', 'lah', 'buktinya', 'ada', 'jadi', 'us', 'army', 'disana', 'gaji', 'pokok', 'saja', 'diatas', '30jt']","['iya', 'lah', 'bukti', 'ada', 'jadi', 'us', 'army', 'sana', 'gaji', 'pokok', 'saja', 'atas', '30jt']","['iya', 'lah', 'bukti', 'ada', 'jadi', 'us', 'army', 'sana', 'gaji', 'pokok', 'saja', 'atas', '30jt']",-10,0
"Monday, 17 February 2025",shelyprism,Good luck guys! God bless you and us!,Good luck guys God bless you and us,good luck guys god bless you and us,good luck guys god bless you and us,good luck guys god bless you and us,"['good', 'luck', 'guys', 'god', 'bless', 'you', 'and', 'us']","['good', 'luck', 'guys', 'god', 'bless', 'you', 'and', 'us']","['good', 'luck', 'guys', 'god', 'bless', 'you', 'and', 'us']",10,1
"Thursday, 13 February 2025",mrright6156,Info cara pindah kewarganegaraan 😁,Info cara pindah kewarganegaraan,info cara pindah kewarganegaraan,info cara pindah kewarganegaraan,info cara pindah kewarganegaraan,"['info', 'cara', 'pindah', 'kewarganegaraan']","['info', 'cara', 'pindah', 'kewarganegaraan']","['info', 'cara', 'pindah', 'kewarganegaraan']",-5,0
"Wednesday, 12 February 2025",safrisikumbang893,"#kaburajadulu
kalau udah punya modal balik lagi",kalau udah punya modal balik lagi,kalau udah punya modal balik lagi,kalau udah punya modal balik lagi,kalau udah punya modal balik lagi,"['kalau', 'udah', 'punya', 'modal', 'balik', 'lagi']","['kalau', 'udah', 'punya', 'modal', 'balik', 'lagi']","['kalau', 'udah', 'punya', 'modal', 'balik', 'lagi']",-5,0
