Comment,clean_text,lower_text,normalized_text,stopwords_text,tokenized_text,stemmed_text,label,polarity_score,polarity
pendidikan tinggi saja kebutuhan tersier. mau indonesia emas 2045? NGIMPI. OMON OMON,pendidikan tinggi saja kebutuhan tersier mau indonesia emas 2045 NGIMPI OMON OMON,pendidikan tinggi saja kebutuhan tersier mau indonesia emas 2045 ngimpi omon omon,pendidikan tinggi saja kebutuhan tersier mau indonesia emas 2045 ngimpi omon omon,pendidikan tinggi saja kebutuhan tersier mau indonesia emas 2045 ngimpi omon omon,"['pendidikan', 'tinggi', 'saja', 'kebutuhan', 'tersier', 'mau', 'indonesia', 'emas', '2045', 'ngimpi', 'omon', 'omon']","['didik', 'tinggi', 'saja', 'butuh', 'tersier', 'mau', 'indonesia', 'emas', '2045', 'ngimpi', 'omon', 'omon']","['didik', 'tinggi', 'saja', 'butuh', 'tersier', 'mau', 'indonesia', 'emas', '2045', 'ngimpi', 'omon', 'omon']",-3,0
"Selamat ulang tahun tanah airku. Yang tanahnya mahal, airnya bayar udara nya tercemar",Selamat ulang tahun tanah airku Yang tanahnya mahal airnya bayar udara nya tercemar,selamat ulang tahun tanah airku yang tanahnya mahal airnya bayar udara nya tercemar,selamat ulang tahun tanah airku yang tanahnya mahal airnya bayar udara nya tercemar,selamat ulang tahun tanah airku tanahnya mahal airnya bayar udara tercemar,"['selamat', 'ulang', 'tahun', 'tanah', 'airku', 'tanahnya', 'mahal', 'airnya', 'bayar', 'udara', 'tercemar']","['selamat', 'ulang', 'tahun', 'tanah', 'air', 'tanah', 'mahal', 'air', 'bayar', 'udara', 'cemar']","['selamat', 'ulang', 'tahun', 'tanah', 'air', 'tanah', 'mahal', 'air', 'bayar', 'udara', 'cemar']",-7,0
Coba bikin konten sama Alvin bang,Coba bikin konten sama Alvin bang,coba bikin konten sama alvin bang,coba bikin konten sama alvin bang,coba bikin konten sama alvin bang,"['coba', 'bikin', 'konten', 'sama', 'alvin', 'bang']","['coba', 'bikin', 'konten', 'sama', 'alvin', 'bang']","['coba', 'bikin', 'konten', 'sama', 'alvin', 'bang']",4,1
apakah indinesia masih ada  ?,apakah indinesia masih ada,apakah indinesia masih ada,apakah indinesia masih ada,apakah indinesia masih ada,"['apakah', 'indinesia', 'masih', 'ada']","['apakah', 'indinesia', 'masih', 'ada']","['apakah', 'indinesia', 'masih', 'ada']",1,1
"Menurut aku agar bisa terwjud ituu....,kesadarran masyarakat dengan indonesia






Ngapain dibuka BTW selamat ulang tahun indonesiaaa.........😊😊😊😊😊😊😊😊😊😊",Menurut aku agar bisa terwjud ituukesadarran masyarakat dengan indonesia Ngapain dibuka BTW selamat ulang tahun indonesiaaa,menurut aku agar bisa terwjud ituukesadarran masyarakat dengan indonesia ngapain dibuka btw selamat ulang tahun indonesiaaa,menurut aku agar bisa terwjud ituukesadarran masyarakat dengan indonesia ngapain dibuka ngomong-ngomong selamat ulang tahun indonesiaaa,menurut aku agar bisa terwjud ituukesadarran masyarakat indonesia ngapain dibuka ngomong-ngomong selamat ulang tahun indonesiaaa,"['menurut', 'aku', 'agar', 'bisa', 'terwjud', 'ituukesadarran', 'masyarakat', 'indonesia', 'ngapain', 'dibuka', 'ngomong-ngomong', 'selamat', 'ulang', 'tahun', 'indonesiaaa']","['turut', 'aku', 'agar', 'bisa', 'terwjud', 'ituukesadarran', 'masyarakat', 'indonesia', 'ngapain', 'buka', 'ngomong-ngomong', 'selamat', 'ulang', 'tahun', 'indonesiaaa']","['turut', 'aku', 'agar', 'bisa', 'terwjud', 'ituukesadarran', 'masyarakat', 'indonesia', 'ngapain', 'buka', 'ngomong-ngomong', 'selamat', 'ulang', 'tahun', 'indonesiaaa']",0,1
Sudah 25 tahun Setelah reformasi tapi kualitas SDM tidak banyak kemajuan.. 2045 tinggal 22 tahun maka jika negara masih dikelola seperti sekarang ini maka Indonesia maju 2045 hanya Ilusi. Salah seorang pemimpin saja SDM nya sangat memprihatinkan..,Sudah 25 tahun Setelah reformasi tapi kualitas SDM tidak banyak kemajuan 2045 tinggal 22 tahun maka jika negara masih dikelola seperti sekarang ini maka Indonesia maju 2045 hanya Ilusi Salah seorang pemimpin saja SDM nya sangat memprihatinkan,sudah 25 tahun setelah reformasi tapi kualitas sdm tidak banyak kemajuan 2045 tinggal 22 tahun maka jika negara masih dikelola seperti sekarang ini maka indonesia maju 2045 hanya ilusi salah seorang pemimpin saja sdm nya sangat memprihatinkan,sudah 25 tahun setelah reformasi tapi kualitas sdm tidak banyak kemajuan 2045 tinggal 22 tahun maka jika negara masih dikelola seperti sekarang ini maka indonesia maju 2045 hanya ilusi salah seorang pemimpin saja sdm nya sangat memprihatinkan,sudah 25 tahun setelah reformasi tapi kualitas sdm tidak banyak kemajuan 2045 tinggal 22 tahun maka jika negara masih dikelola seperti sekarang ini maka indonesia maju 2045 hanya ilusi salah seorang pemimpin saja sdm sangat memprihatinkan,"['sudah', '25', 'tahun', 'setelah', 'reformasi', 'tapi', 'kualitas', 'sdm', 'tidak', 'banyak', 'kemajuan', '2045', 'tinggal', '22', 'tahun', 'maka', 'jika', 'negara', 'masih', 'dikelola', 'seperti', 'sekarang', 'ini', 'maka', 'indonesia', 'maju', '2045', 'hanya', 'ilusi', 'salah', 'seorang', 'pemimpin', 'saja', 'sdm', 'sangat', 'memprihatinkan']","['sudah', '25', 'tahun', 'telah', 'reformasi', 'tapi', 'kualitas', 'sdm', 'tidak', 'banyak', 'maju', '2045', 'tinggal', '22', 'tahun', 'maka', 'jika', 'negara', 'masih', 'kelola', 'seperti', 'sekarang', 'ini', 'maka', 'indonesia', 'maju', '2045', 'hanya', 'ilusi', 'salah', 'orang', 'pimpin', 'saja', 'sdm', 'sangat', 'prihatin']","['sudah', '25', 'tahun', 'telah', 'reformasi', 'tapi', 'kualitas', 'sdm', 'tidak', 'banyak', 'maju', '2045', 'tinggal', '22', 'tahun', 'maka', 'jika', 'negara', 'masih', 'kelola', 'seperti', 'sekarang', 'ini', 'maka', 'indonesia', 'maju', '2045', 'hanya', 'ilusi', 'salah', 'orang', 'pimpin', 'saja', 'sdm', 'sangat', 'prihatin']",-13,0
"2045 Indonesia emas
Mas Gibran, mas Bobby dan mas Kaesang 
😂😂😂😂😂",2045 Indonesia emas Mas Gibran mas Bobby dan mas Kaesang,2045 indonesia emas mas gibran mas bobby dan mas kaesang,2045 indonesia emas mas gibran mas bobby dan mas kaesang,2045 indonesia emas mas gibran mas bobby mas kaesang,"['2045', 'indonesia', 'emas', 'mas', 'gibran', 'mas', 'bobby', 'mas', 'kaesang']","['2045', 'indonesia', 'emas', 'mas', 'gibran', 'mas', 'bobby', 'mas', 'kaesang']","['2045', 'indonesia', 'emas', 'mas', 'gibran', 'mas', 'bobby', 'mas', 'kaesang']",0,1
"Ga akan bisa . lu liat aja pemerintah kelakuan nya. Leave from this f*king country ASAP IF U CAN. NO HOPE , NO FUTURE IN INDONESIA",Ga akan bisa lu liat aja pemerintah kelakuan nya Leave from this fking country ASAP IF U CAN NO HOPE NO FUTURE IN INDONESIA,ga akan bisa lu liat aja pemerintah kelakuan nya leave from this fking country asap if u can no hope no future in indonesia,tidak akan bisa lu liat saja pemerintah kelakuan nya leave from this fking country asap if kamu can no hope no future in indonesia,tidak akan bisa lu liat saja pemerintah kelakuan leave from this fking country asap if kamu can no hope no future in indonesia,"['tidak', 'akan', 'bisa', 'lu', 'liat', 'saja', 'pemerintah', 'kelakuan', 'leave', 'from', 'this', 'fking', 'country', 'asap', 'if', 'kamu', 'can', 'no', 'hope', 'no', 'future', 'in', 'indonesia']","['tidak', 'akan', 'bisa', 'lu', 'liat', 'saja', 'perintah', 'laku', 'leave', 'from', 'this', 'fking', 'country', 'asap', 'if', 'kamu', 'can', 'no', 'hope', 'no', 'future', 'in', 'indonesia']","['tidak', 'akan', 'bisa', 'lu', 'liat', 'saja', 'perintah', 'laku', 'leave', 'from', 'this', 'fking', 'country', 'asap', 'if', 'kamu', 'can', 'no', 'hope', 'no', 'future', 'in', 'indonesia']",-10,0
"Harus kritis. Kl nrimo2 aja, ga maju2 :"") kritis itu sama wajibnya dgn support pemimpin supaya bener.",Harus kritis Kl nrimo2 aja ga maju2 kritis itu sama wajibnya dgn support pemimpin supaya bener,harus kritis kl nrimo2 aja ga maju2 kritis itu sama wajibnya dgn support pemimpin supaya bener,harus kritis kalau nrimo2 saja tidak maju2 kritis itu sama wajibnya dengan support pemimpin supaya bener,harus kritis kalau nrimo2 saja tidak maju2 kritis itu sama wajibnya support pemimpin supaya bener,"['harus', 'kritis', 'kalau', 'nrimo2', 'saja', 'tidak', 'maju2', 'kritis', 'itu', 'sama', 'wajibnya', 'support', 'pemimpin', 'supaya', 'bener']","['harus', 'kritis', 'kalau', 'nrimo2', 'saja', 'tidak', 'maju2', 'kritis', 'itu', 'sama', 'wajib', 'support', 'pimpin', 'supaya', 'bener']","['harus', 'kritis', 'kalau', 'nrimo2', 'saja', 'tidak', 'maju2', 'kritis', 'itu', 'sama', 'wajib', 'support', 'pimpin', 'supaya', 'bener']",-22,0
"Indoensia emas hanya bagi orang kaya. Yang Miskin tetap miskin. Yang bodoh tambah bodoh. Kalau rakyat pinter dan kaya, penguasa model sekarang bakal disembelih satu2",Indoensia emas hanya bagi orang kaya Yang Miskin tetap miskin Yang bodoh tambah bodoh Kalau rakyat pinter dan kaya penguasa model sekarang bakal disembelih satu2,indoensia emas hanya bagi orang kaya yang miskin tetap miskin yang bodoh tambah bodoh kalau rakyat pinter dan kaya penguasa model sekarang bakal disembelih satu2,indoensia emas hanya bagi orang kaya yang miskin tetap miskin yang bodoh tambah bodoh kalau rakyat pinter dan kaya penguasa model sekarang bakal disembelih satu2,indoensia emas hanya bagi orang kaya miskin tetap miskin bodoh tambah bodoh kalau rakyat pinter kaya penguasa model sekarang bakal disembelih satu2,"['indoensia', 'emas', 'hanya', 'bagi', 'orang', 'kaya', 'miskin', 'tetap', 'miskin', 'bodoh', 'tambah', 'bodoh', 'kalau', 'rakyat', 'pinter', 'kaya', 'penguasa', 'model', 'sekarang', 'bakal', 'disembelih', 'satu2']","['indoensia', 'emas', 'hanya', 'bagi', 'orang', 'kaya', 'miskin', 'tetap', 'miskin', 'bodoh', 'tambah', 'bodoh', 'kalau', 'rakyat', 'pinter', 'kaya', 'kuasa', 'model', 'sekarang', 'bakal', 'sembelih', 'satu2']","['indoensia', 'emas', 'hanya', 'bagi', 'orang', 'kaya', 'miskin', 'tetap', 'miskin', 'bodoh', 'tambah', 'bodoh', 'kalau', 'rakyat', 'pinter', 'kaya', 'kuasa', 'model', 'sekarang', 'bakal', 'sembelih', 'satu2']",0,1
10 tahun berlalu dan bukan meroket yang terjadi tapi merosot.. saya kawatir 2045 mayoritas rakyat didominasi kelas bawah,10 tahun berlalu dan bukan meroket yang terjadi tapi merosot saya kawatir 2045 mayoritas rakyat didominasi kelas bawah,10 tahun berlalu dan bukan meroket yang terjadi tapi merosot saya kawatir 2045 mayoritas rakyat didominasi kelas bawah,10 tahun berlalu dan bukan meroket yang terjadi tapi merosot saya kawatir 2045 mayoritas rakyat didominasi kelas bawah,10 tahun berlalu bukan meroket terjadi tapi merosot saya kawatir 2045 mayoritas rakyat didominasi kelas bawah,"['10', 'tahun', 'berlalu', 'bukan', 'meroket', 'terjadi', 'tapi', 'merosot', 'saya', 'kawatir', '2045', 'mayoritas', 'rakyat', 'didominasi', 'kelas', 'bawah']","['10', 'tahun', 'lalu', 'bukan', 'roket', 'jadi', 'tapi', 'merosot', 'saya', 'kawatir', '2045', 'mayoritas', 'rakyat', 'dominasi', 'kelas', 'bawah']","['10', 'tahun', 'lalu', 'bukan', 'roket', 'jadi', 'tapi', 'merosot', 'saya', 'kawatir', '2045', 'mayoritas', 'rakyat', 'dominasi', 'kelas', 'bawah']",-9,0
